Name,Mobile,Email,Hostel,Room,Department,Academic Level
Aarav Sharma,9876500001,aarav.sharma@gmail.com,Shivneri,A101,Computer Engineering,SE
Vivaan Patel,9876500002,vivaan.patel@gmail.com,Raygad,B102,Computer Engineering,SE
Aditya Joshi,9876500003,aditya.joshi@gmail.com,Rajgad,C103,Information Technology,TE
Krishna Mehta,9876500004,krishna.mehta@gmail.com,Shivneri,A104,Computer Engineering,SE
Arjun Deshmukh,9876500005,arjun.deshmukh@gmail.com,Raygad,B105,Mechanical Engineering,FE
Sai Kulkarni,9876500006,sai.kulkarni@gmail.com,Rajgad,C106,Computer Engineering,TE
Rohan Pawar,9876500007,rohan.pawar@gmail.com,Shivneri,A107,Electronics Engineering,SE
Om Jadhav,9876500008,om.jadhav@gmail.com,Raygad,B108,Civil Engineering,FE
Yash Patil,9876500009,yash.patil@gmail.com,Rajgad,C109,Computer Engineering,BE
Atharva Kale,9876500010,atharva.kale@gmail.com,Shivneri,A110,Information Technology,SE
Harsh Gupta,9876500011,harsh.gupta@gmail.com,Raygad,B111,Computer Engineering,TE
Pranav More,9876500012,pranav.more@gmail.com,Rajgad,C112,Mechanical Engineering,SE
Kunal Shinde,9876500013,kunal.shinde@gmail.com,Shivneri,A113,Computer Engineering,BE
Nikhil Bhosale,9876500014,nikhil.bhosale@gmail.com,Raygad,B114,Electrical Engineering,TE
Ritesh Chavan,9876500015,ritesh.chavan@gmail.com,Rajgad,C115,Computer Engineering,SE
Siddharth Naik,9876500016,siddharth.naik@gmail.com,Shivneri,A116,Civil Engineering,FE
Aniket Mane,9876500017,aniket.mane@gmail.com,Raygad,B117,Computer Engineering,SE
Tanmay Singh,9876500018,tanmay.singh@gmail.com,Rajgad,C118,Information Technology,BE
Vedant Khot,9876500019,vedant.khot@gmail.com,Shivneri,A119,Computer Engineering,TE
Ruturaj Salunkhe,9876500020,ruturaj.salunkhe@gmail.com,Raygad,B120,Mechanical Engineering,SE
Akash Yadav,9876500021,akash.yadav@gmail.com,Rajgad,C121,Computer Engineering,SE
Manav Shah,9876500022,manav.shah@gmail.com,Shivneri,A122,Information Technology,TE
Parth Jain,9876500023,parth.jain@gmail.com,Raygad,B123,Computer Engineering,BE
Rahul Verma,9876500024,rahul.verma@gmail.com,Rajgad,C124,Mechanical Engineering,SE
Sanket Thorat,9876500025,sanket.thorat@gmail.com,Shivneri,A125,Computer Engineering,SE
Shreyas More,9876500026,shreyas.more@gmail.com,Raygad,B126,Civil Engineering,FE
Tushar Patil,9876500027,tushar.patil@gmail.com,Rajgad,C127,Computer Engineering,TE
Abhishek Nair,9876500028,abhishek.nair@gmail.com,Shivneri,A128,Electronics Engineering,SE
Rohit Gaikwad,9876500029,rohit.gaikwad@gmail.com,Raygad,B129,Computer Engineering,BE
Deep Shah,9876500030,deep.shah@gmail.com,Rajgad,C130,Information Technology,SE
Ansh Kulkarni,9876500031,ansh.kulkarni@gmail.com,Shivneri,A131,Computer Engineering,TE
Mayur Wagh,9876500032,mayur.wagh@gmail.com,Raygad,B132,Mechanical Engineering,SE
Soham Bendre,9876500033,soham.bendre@gmail.com,Rajgad,C133,Computer Engineering,SE
Aryan Raut,9876500034,aryan.raut@gmail.com,Shivneri,A134,Civil Engineering,FE
Karan Soni,9876500035,karan.soni@gmail.com,Raygad,B135,Computer Engineering,BE
Rishi Agarwal,9876500036,rishi.agarwal@gmail.com,Rajgad,C136,Information Technology,TE
Dhruv Kapoor,9876500037,dhruv.kapoor@gmail.com,Shivneri,A137,Computer Engineering,SE
Aman Tiwari,9876500038,aman.tiwari@gmail.com,Raygad,B138,Mechanical Engineering,FE
Jay Shah,9876500039,jay.shah@gmail.com,Rajgad,C139,Computer Engineering,SE
Sagar Choudhary,9876500040,sagar.choudhary@gmail.com,Shivneri,A140,Electrical Engineering,TE
Neeraj Kumar,9876500041,neeraj.kumar@gmail.com,Raygad,B141,Computer Engineering,BE
Gaurav Mishra,9876500042,gaurav.mishra@gmail.com,Rajgad,C142,Information Technology,SE
Chirag Modi,9876500043,chirag.modi@gmail.com,Shivneri,A143,Computer Engineering,TE
Bhavesh Parmar,9876500044,bhavesh.parmar@gmail.com,Raygad,B144,Civil Engineering,FE
Lakshya Arora,9876500045,lakshya.arora@gmail.com,Rajgad,C145,Computer Engineering,SE
Mohit Saxena,9876500046,mohit.saxena@gmail.com,Shivneri,A146,Mechanical Engineering,TE
Ishan Malhotra,9876500047,ishan.malhotra@gmail.com,Raygad,B147,Computer Engineering,BE
Devansh Kapoor,9876500048,devansh.kapoor@gmail.com,Rajgad,C148,Information Technology,SE
Ayush Dubey,9876500049,ayush.dubey@gmail.com,Shivneri,A149,Computer Engineering,TE
Pratham Mishra,9876500050,pratham.mishra@gmail.com,Raygad,B150,Mechanical Engineering,SE
